id;nom_affiche;producteur;famille;tables_servies;millesime_servi;date_injection;cadence_declaree;mode_remplissage;job_ingestion;cron;sentinelle;methode_sonde;derniere_sonde;dernier_millesime_publie_vu;raison_non_surveillee;url_producteur_connue;licence;absente_motif;preuve
bruit_itt_cerema;Classement sonore ITT (Cerema);Cerema (Cartagène);reglement;spatial_layers(bruit_route);arrêtés déc. 2023;2026-07-10;aucune;one_shot;labuse ingest-bruit-route;aucun;oui;api;2026-09-03;1004;;https://cartagene.cerema.fr/server/rest/services/Hosted/Routes_classement_sonore_La_Reunion_V2/FeatureServer/0/query;Licence Ouverte 2.0 (open data Cerema) — attribution : « Source : Cerema, classement sonore ITT ». Classement en vigueur : arrêtés préfectoraux 14-15/12/2023.;;"data_sources id=46 (SELECT du 05/09/2026) ; src/labuse/cli.py:2580 ; kind bruit_route=1004"
cinquante_pas_deal;50 pas géométriques — limite haute (DEAL);DEAL Réunion (Lizmap);reglement;spatial_layers(cinquante_pas);cadastre 1877 (géoréf. 2012/1950);;aucune;one_shot;labuse ingest-cinquante-pas;aucun;non;aucune;;;"Y1 : WFS Lizmap DEAL de nouveau joignable mais sans projet/date lisible ; 0 jeu data.gouv (« 50 pas », « pas géométriques »). Limite domaniale dérivée du cadastre 1877 géoréférencé — donnée quasi statique, aucun millésime ni empreinte amont.";https://deal974.lizmap.com/cartes/index.php/lizmap/service?repository=00cartogenerale&project=deal_reunion;"Données État — Licence Ouverte ; attribution : « Source : DEAL Réunion, 50 pas géométriques (limite haute) ». Limite numérisée du cadastre 1877 (géoréf. orthos 2012/1950) — indicative, la bande polygonale officielle n'est pas diffusée.";;"data_sources id=47 (SELECT du 05/09/2026) ; src/labuse/cli.py:2592 ; kind cinquante_pas=163"
pvgis;PVGIS (Commission européenne);CE / JRC;energie;solar_grid, parcel_solar;PVGIS v5.3 · modèle SARAH3 (relevé au run du builder solaire);2026-08-23;aucune;one_shot;labuse solaire-build (run gelé — productible PVGIS);aucun;non;aucune;;;"API de CALCUL (v5.3 dans l'URL) — pas de jeu à millésime, le service ne versionne pas de données à comparer ; aucune requête témoin actionnable (réponse dérivée d'un modèle, pas d'une donnée ingérée).";https://re.jrc.ec.europa.eu/api/v5_3/PVcalc;CC BY 4.0 (décision 2011/833/UE) — attribution : « Source : Commission européenne, Joint Research Centre — PVGIS », modifications indiquées (calculs dérivés LABUSE). Gratuit, sans clé.;;"data_sources id=48 (SELECT du 05/09/2026) ; src/labuse/cli.py:2759 ; src/labuse/ingestion/solaire.py"
edf_sei_opendata;EDF SEI Réunion — open data;EDF SEI;energie;aucune;;;aucune;absente;aucun;aucun;non;aucune;;;Pas d'URL amont à millésime stable identifiée (endpoint de requête, import manuel ou hub).;https://opendata-reunion.edf.fr/api/explore/v2.1/;Licence Ouverte (jeux ZNI publiés par EDF SEI) — attribution : « Source : EDF SEI Réunion, open data ».;RETIRÉ — amont 410 Gone (jeu retiré par le producteur);"data_sources id=49 (SELECT du 05/09/2026) ; data_sources.technical_notes id 49 ; hors vitrine (RETIRÉ — amont 410 Gone (jeu r…, sources_catalog.py:36)"
odre_registre_installations;Registre national des installations (ODRÉ);ODRÉ / data.gouv.fr;energie;aucune;;;aucune;absente;aucun;aucun;non;aucune;;;Pas d'URL amont à millésime stable identifiée (endpoint de requête, import manuel ou hub).;https://odre.opendatasoft.com/api/explore/v2.1/;Licence Ouverte — attribution : « Source : ODRÉ, registre national des installations de production ». Installations ≥ 36 kVA individualisées, petites agrégées par commune.;RETIRÉ — jamais branché, aucun usage identifié;"data_sources id=50 (SELECT du 05/09/2026) ; data_sources.technical_notes id 50 ; hors vitrine (RETIRÉ — jamais branché, aucun…, sources_catalog.py:36)"
parkings_osm_aper;Parkings OSM (loi APER);OpenStreetMap;energie;parkings_aper;;2026-07-11;aucune;one_shot;DOUTE (CLI à identifier);aucun;non;aucune;;;OSM en flux continu, interrogé en direct (cf. « OpenStreetMap / Overpass ») — témoin de comptage non représentatif ni actionnable.;https://overpass-api.de/api/interpreter;ODbL 1.0 — attribution : « © les contributeurs d'OpenStreetMap — données disponibles sous ODbL (openstreetmap.org/copyright) ». parkings_aper = base dérivée d'OSM : disponible sous ODbL sur demande (share-alike).;;"data_sources id=51 (SELECT du 05/09/2026) ; table parkings_aper (information_schema 05/09)"
filosofi_carreaux;Filosofi INSEE (carreaux 200 m);INSEE;attractivite;filosofi_carreaux_200m, p_model_filo;millésime 2021;;aucune;one_shot;DOUTE (CLI à identifier);aucun;oui;api;2026-09-03;2026-08-19T10:44:15.176000+00:00;;https://www.insee.fr/fr/statistiques/8735162?sommaire=8735243;Licence Ouverte — attribution : « Source : Insee, Filosofi 2021 ».;;"data_sources id=52 (SELECT du 05/09/2026) ; table filosofi_carreaux_200m (information_schema 05/09)"
bd_ortho;BD ORTHO 20 cm (IGN);IGN / Géoplateforme;imagerie;ortho_tiles, ortho_detections, parcel_equipements;BD ORTHO IGN 974 — millésime 2025 (piscine, 90,7 %);;aucune;one_shot;labuse ortho-detect-pv (détections dérivées — cf. Q1.2);aucun;oui;api;2026-09-03;2026-08-27T00:00:00+00:00;;https://data.geopf.fr/wms-r (ORTHOIMAGERY.ORTHOPHOTOS);Licence Ouverte Etalab — usage commercial OK, attribution IGN obligatoire (UI).;;"data_sources id=61 (SELECT du 05/09/2026) ; src/labuse/ingestion/ortho_tiles.py:28 ; src/labuse/cli.py:2788"
sudocuh;Sudocuh (procédures d'urbanisme);Ministère Cohésion des territoires / DGALN;urbanisme;sudocuh_procedures + config/veille_plu.yaml (registre curaté servi);Sudocuh — état au 31/12/2024 (Licence Ouverte 2.0);;aucune;depot_manuel;curation manuelle (squelette Sudocuh);aucun;non;aucune;;;Pas d'URL amont à millésime stable identifiée (endpoint de requête, import manuel ou hub).;https://www.data.gouv.fr/api/1/datasets/r/61541a0f-e9b0-43dc-bace-6c3905714400;Licence Ouverte / Open Licence 2.0 — attribution Ministère.;;"data_sources id=62 (SELECT du 05/09/2026) ; src/labuse/sources_catalog.py:96-100"
gpu_zonage_assainissement;GPU — zonages d'assainissement;IGN / Géoportail de l'urbanisme;urbanisme;spatial_layers(zonage_assainissement), parcel_anc;"GPU — idurba par commune ; SIG 4/24 au 11/07/2026";;aucune;one_shot;labuse anc (anc.py);aucun;non;aucune;;;API Carto GPU par géométrie (mêmes limites que « Urbanisme PLU/GPU » : pas de millésime global, interrogé en direct sans snapshot ingéré).;https://apicarto.ign.fr/api/gpu/municipality/document/info-surf;Licence Ouverte (GPU) — attribution : « Source : Géoportail de l'urbanisme (IGN), annexes d'assainissement des collectivités ».;;"data_sources id=63 (SELECT du 05/09/2026) ; src/labuse/ingestion/anc.py:45,54 ; src/labuse/cli.py:3540 ; kind zonage_assainissement=258"
contours_iris;Contours IRIS (IGN/INSEE);IGN / INSEE;attractivite;spatial_layers(iris_insee);Contours IRIS — géographie 2024 (IGN/INSEE);;aucune;one_shot;layers_ingest.py;aucun;oui;api;2026-09-03;2026-04-30T00:00:00+00:00;;https://data.geopf.fr/wfs/ows;Licence Ouverte 2.0 (Etalab) — attribution : « Contours IRIS © IGN/INSEE ».;;"data_sources id=64 (SELECT du 05/09/2026) ; kind iris_insee=344"
rge_alti_5m;RGE ALTI 5 m (IGN);IGN / Géoplateforme;terrain;rgealti_pente_5m;RGE ALTI® 5 m (IGN) — édition non enregistrée;;aucune;one_shot;DOUTE (même réservoir que id 6);aucun;non;aucune;;;Pas d'URL amont à millésime stable identifiée (endpoint de requête, import manuel ou hub).;https://geoservices.ign.fr/rgealti;Licence Ouverte Etalab.;;"data_sources id=65 (SELECT du 05/09/2026) ; technical_notes DOUBLON id 65 ; hors vitrine (DOUBLON de « RGE ALTI (altimét…, sources_catalog.py:36)"
insee_rp2022_egoul;INSEE RP2022 — fichier détail Logements (EGOUL);INSEE;assainissement;anc_maille_taux;RP2022 — fichier détail Logements, publié le 16/10/2025 (INSEE);;aucune;one_shot;labuse anc;aucun;oui;api;2026-09-03;2025-02-12T09:44:01.009000+00:00;;https://www.insee.fr/fr/statistiques/fichier/8647099/RP2022_logemt.zip;Licence Ouverte Etalab — attribution INSEE obligatoire (UI).;;"data_sources id=66 (SELECT du 05/09/2026) ; src/labuse/ingestion/anc.py:45 ; src/labuse/cli.py:3540"
gpu_assainissement_infosurf;GPU — zonages d'assainissement (info-surf typeinf 19);IGN / Géoportail de l'urbanisme;assainissement;(canal DOUBLON de gpu_zonage_assainissement);"GPU — idurba par commune ; SIG 4/24 au 11/07/2026";;aucune;one_shot;aucun;aucun;non;aucune;;;Doublon du GPU assainissement (canal info-surf) — même amont, non re-surveillé.;https://apicarto.ign.fr/api/gpu/info-surf;Licence Ouverte (GPU) — attribution : « Source : Géoportail de l'urbanisme (IGN), zonages d'assainissement des collectivités ».;;"data_sources id=67 (SELECT du 05/09/2026) ; technical_notes DOUBLON id 67 ; hors vitrine (DOUBLON de « GPU — zonages d'a…, sources_catalog.py:36)"
office_eau_chroniques;Office de l'eau Réunion — Chroniques de l'eau;Office de l'eau Réunion;assainissement;anc_office_eau_commune;Chronique n°149 — données 2023;;aucune;depot_manuel;seed CSV extrait à la main d'un PDF (rappel 365 j);aucun;non;rappel;;;;https://eaureunion.fr/fileadmin/user_upload/Chroniques/2025/25.12.17_CHRONIQUES_de_L_EAU_149.pdf;DOUTE — Licence à confirmer (publication Office de l'eau Réunion — non tranché à l'audit M6 §1.11).;;"data_sources id=68 (SELECT du 05/09/2026) ; src/labuse/sentinelle.py:524,539 ; src/labuse/ingestion/anc.py"
bd_ortho_irc;BD ORTHO IRC (IGN);IGN / Géoplateforme;imagerie;ortho_detections(vegetation), parcel_vegetation;;;aucune;one_shot;labuse vegetation-irc / vegetation;aucun;oui;api;2026-09-03;2026-08-27T00:00:00+00:00;;https://data.geopf.fr/wms-r (ORTHOIMAGERY.ORTHOPHOTOS.IRC);Licence Ouverte Etalab — attribution IGN obligatoire (UI).;;"data_sources id=69 (SELECT du 05/09/2026) ; src/labuse/cli.py:3566,3579"
lidar_hd_mnh;LiDAR HD — MNH 50 cm (IGN);IGN / Géoplateforme;terrain;toiture_lidar;LiDAR HD MNH — dalles publiées 25/06/2025 (IGN);;aucune;one_shot;DOUTE (WMS consommé au build toiture);aucun;oui;api;2026-09-03;2026-08-07T00:00:00+00:00;;https://data.geopf.fr/wms-r (IGNF_LIDAR-HD_MNH_ELEVATION.ELEVATIONGRIDCOVERAGE.RGR92UTM40S);Licence Ouverte Etalab — attribution IGN obligatoire (UI).;;"data_sources id=70 (SELECT du 05/09/2026) ; table toiture_lidar (information_schema 05/09)"
dgfip_parcelles_pm;DGFiP — parcelles des personnes morales;DGFiP;proprietaire;parcelle_personne_morale, pm_proprietaires_millesimes;Panel millésimes 2019→2025 (situation 1ᵉʳ janvier);2026-07-12;annuelle;one_shot;labuse ingest-personnes-morales + ingest-pm-millesimes (cadence annuelle documentée);aucun (EXPLOITATION-CRON : à poser annuel);oui;entete;2026-09-03;"""68b6e479-a36812b""";;https://data.economie.gouv.fr/api/v2/catalog/datasets/fichiers-des-locaux-et-des-parcelles-des-personnes-morales/attachments/fichier_des_parcelles_situation_2025_dpts_57_a_976_zip;Licence Ouverte v2 — attribution : « Source : DGFiP — parcelles des personnes morales ». RGPD-safe : personnes MORALES uniquement (commune/État/SEM/bailleur/SCI), aucune personne physique.;;"data_sources id=71 (SELECT du 05/09/2026) ; src/labuse/cli.py:956,3031"
zfang;ZFANG — zone franche d'activité nouvelle génération (Légifrance);Légifrance / DGOM;fiscal;spatial_layers(zfang,tva_primo);Décret n° 2026-421 du 29 mai 2026 (LF 2026, art. 18);;aucune;one_shot;labuse dispositifs-build (dérivé des textes);aucun;non;aucune;;;"Y1 : 0 jeu data.gouv (ZFANG/zone franche outre-mer) ; la page JORF n'a ni ETag ni Last-Modified (Cache-Control no-store → `entete` illisible) et son HTML n'est pas déterministe (jetons dynamiques) → `page` non fiable ; un texte modifié reçoit un nouvel identifiant JORFTEXT.";https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000054153903;Texte réglementaire (Légifrance, réutilisation libre). Attribution : « Source : décret n° 2026-421 du 29 mai 2026 (Légifrance) ».;;"data_sources id=72 (SELECT du 05/09/2026) ; src/labuse/ingestion/dispositifs.py:106,133,148 ; kind zfang=24"
frr_ex_zrr;FRR ex-ZRR — zone spéciale d'action rurale (Légifrance);Légifrance / Région Réunion;fiscal;spatial_layers(frr);ZSAR 1978 · FRR 01/07/2024 · réf. ZRR 2017 (Région);;aucune;one_shot;labuse dispositifs-build;aucun;non;aucune;;;"Y1 : les jeux data.gouv « FRR » trouvés sont DÉPARTEMENTAUX (Charente, Corrèze, Nièvre), aucun national ni Réunion ; la page JORF n'a ni ETag ni Last-Modified et son HTML n'est pas déterministe → ni `entete` ni `page` fiable.";https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000049746820;"Texte réglementaire (Légifrance) ; référence infra-communale : jeu « ZRR 2017 » du portail open data Région Réunion (Licence Ouverte).";;"data_sources id=73 (SELECT du 05/09/2026) ; kind frr=23"
gtfs_pan;Transport public — GTFS (PAN, 7 réseaux);AOM Réunion (Région, CINOR, TCO, CIVIS, CIREST, CASUD) via transport.data.gouv.fr;acces;spatial_layers(transport_arret,transport_ligne,pole_echange,axe_structurant);7 jeux PAN, màj 2025-12-29 → 2026-08-17;;aucune;one_shot;labuse transport-reseaux;aucun;oui;api;2026-09-03;2026-07-16T06:45:16.443000+00:00;;https://www.data.gouv.fr/api/1/datasets/horaire-du-reseau-citalis/;Licence Ouverte v2.0 (les 7 jeux). Attribution : « Source : Point d'Accès National transport.data.gouv.fr — AOM de La Réunion ».;;"data_sources id=74 (SELECT du 05/09/2026) ; src/labuse/cli.py:156 ; kind transport_arret=9956"
osm_transport;OSM — transport (pôles d'échange & téléphérique);OpenStreetMap;acces;spatial_layers(telepherique,pole_echange);extraction Overpass (base OSM vivante, ODbL);;aucune;one_shot;labuse transport-reseaux;aucun;non;aucune;;;OSM en flux continu, interrogé en direct (cf. « OpenStreetMap / Overpass ») — témoin de comptage non représentatif ni actionnable.;https://overpass-api.de/api/interpreter;"ODbL 1.0 — attribution : « © les contributeurs d'OpenStreetMap — données disponibles sous ODbL (openstreetmap.org/copyright) ». Usage assumé par arbitrage Vic M106 (cohérent parkings APER/aménités) ; portée share-alike à faire trancher avant le premier client (note hors mandat).";;"data_sources id=75 (SELECT du 05/09/2026) ; kind telepherique=7"
znieff_inpn;ZNIEFF (INPN/MNHN);INPN/MNHN · PatriNat;environnement;spatial_layers(znieff);INPN, mise à jour 29/08/2025;2026-08-21;aucune;one_shot;labuse znieff-build;aucun;oui;api;2026-09-03;2026-09-02T15:23:09.960000+00:00;;https://data.geopf.fr/wfs/ows;Licence Ouverte / Etalab — attribution : « Source : INPN/MNHN (PatriNat) ».;;"data_sources id=76 (SELECT du 05/09/2026) ; src/labuse/cli.py:216 ; kind znieff=162"
znieff_region_ods;ZNIEFF (INPN / Région);INPN/MNHN · Région ODS;environnement;aucune;;;aucune;absente;aucun;aucun;non;aucune;;;Pas d'URL amont à millésime stable identifiée (endpoint de requête, import manuel ou hub).;https://data.regionreunion.com/api/explore/v2.1/catalog/datasets/zones-naturelles-d-interet-ecologique-faunistique-et-floristique-a-la-reunion/records;"DOUTE — Licence à confirmer (jeu servi par la Région Réunion ODS — audit M6 §1.11 R8) ; producteur : INPN/MNHN.";canal Région non branché (status=a_faire), même donnée que znieff_inpn;"data_sources id=80 (SELECT du 05/09/2026) ; data_sources.technical_notes id 80 ; hors vitrine (M71 (audit M66/M66-B) : endpoi…, sources_catalog.py:36)"
cosia;CoSIA (couverture du sol IA, IGN);IGN / Géoplateforme;occupation_sol;spatial_layers(batiment_cosia), p_model_bati_cosia, qa_cosia_bati;CoSIA 2025 (PVA juil.-août 2025, 20 cm);2026-08-22;pluriannuelle;one_shot;labuse ingest-cosia;aucun;oui;api;2026-09-03;2026-08-03T00:00:00+00:00;;https://data.geopf.fr/telechargement/download/COSIA/COSIA_1-0__GPKG_RGR92UTM40S_D974_2025-01-01/COSIA_1-0__GPKG_RGR92UTM40S_D974_2025-01-01.7z;Licence Ouverte 2.0 (Etalab) — attribution : « Source : IGN — CoSIA (Couverture du Sol par IA), D974 millésime 2025 ».;;"data_sources id=83 (SELECT du 05/09/2026) ; src/labuse/ingestion/cosia.py:119 ; src/labuse/cli.py:202"
radar_pige;Radar (pige d'annonces);LABUSE — collecte humaine;marche;pige_annonces, pige_biens, pige_faits, pige_depots, pige_captures, pige_clics, pige_prix_historique, radar_releves;Collecte manuelle — biens en vente (faits + lien);2026-08-30;quotidien;depot_manuel;dépôt humain /admin/radar (collecte 100 % humaine, rappel 7 j);"radar-cycle 30 2 * * * ; radar-digests 0 14 * * * ; radar-releves 0 13 * * * (exploitation, pas remplissage)";non;rappel;;;;;"Faits extraits d'annonces PUBLIQUES + lien de redirection vers la source ; captures conservées en interne, aucune coordonnée vendeur, aucune republication (doctrine RADAR §2). Collecte 100 % HUMAINE : aucun code ne requête un portail.";;"data_sources id=84 (SELECT du 05/09/2026) ; src/labuse/pige/ ; sentinelle.py:520,536 ; deploy/cron.d-labuse"
sirene_etablissements;SIRENE établissements géolocalisés;INSEE / data.gouv;economie;sirene_etablissements;SIRENE géolocalisé — publication mensuelle INSEE;2026-08-29;aucune;cron_mensuel;labuse ingest-sirene-etab (purge complète + réinsertion DuckDB);ingest-sirene · 0 0 7 * * UTC (04:00 Réunion le 7);oui;api;2026-09-03;2026-08-21T08:17:54.490000+00:00;;https://www.data.gouv.fr/fr/datasets/geolocalisation-des-etablissements-du-repertoire-sirene-pour-les-etudes-statistiques/;Licence Ouverte 2.0 — attribution : « Source : Insee, Sirene ». Statut de diffusion respecté : les établissements en diffusion partielle (personnes physiques opposées) n'ont ni nom ni adresse stockés/affichés (obligation légale).;;"data_sources id=86 (SELECT du 05/09/2026) ; src/labuse/cli.py:264 ; src/labuse/ingestion/sirene_etablissements.py:143 ; deploy/cron.d-labuse"
mobpro;MOBPRO (mobilités domicile-travail, INSEE);INSEE (RP);economie;mobpro_commune;MOBPRO INSEE — fichier détail (millésime RP);;aucune;one_shot;labuse ingest-mobpro (import abandonné pour l'étude de zone);aucun;non;aucune;;;Import CSV manuel ABANDONNÉ pour l'étude de zone — pas d'URL de version stable, et pas de rafraîchissement attendu (aucun rappel Y4).;https://www.insee.fr/fr/statistiques/7630376;Licence Ouverte — attribution : « Source : Insee, MOBPRO ».;;"data_sources id=87 (SELECT du 05/09/2026) ; src/labuse/cli.py:285 ; sentinelle.py:523"
trafic_rn;Trafic RN (Région Réunion — SIR);Région Réunion (Système d'Information Routier);economie;trafic_rn;Trafic RN Région — comptages (millésime porté par tronçon);2026-08-29;aucune;one_shot;labuse ingest-trafic-rn;aucun;oui;api;2026-09-03;2025-10-21T11:48:43.397000+00:00;;https://data.regionreunion.com/explore/dataset/trafic-mja-rn-lareunion/;Licence Ouverte — attribution : « Source : Région Réunion ».;;"data_sources id=88 (SELECT du 05/09/2026) ; src/labuse/cli.py:252"
bdnb;BDNB;CSTB;proprietaire;aucune (amont ne couvre pas le 974);2026-02-a (métropole seule — 974 absent);;trimestrielle;absente;labuse ingest-bdnb (job défini, hors crontab);ingest-bdnb défini trimestriel · ABSENT de deploy/cron.d-labuse;oui;api;;;;https://www.data.gouv.fr/api/1/datasets/base-de-donnees-nationale-des-batiments/;Licence Ouverte / Etalab 2.0 — attribution : « CSTB — Base de données nationale des bâtiments ».;SCORING-3 L3 : constat mesuré 03/09/2026 — BDNB 2026-02-a métropole seule, 974 absent;"data_sources id=89 (SELECT du 05/09/2026) ; src/labuse/cli.py:1203 ; src/labuse/jobs.py:263-318 ; data_sources.technical_notes id 89 ; hors vitrine (SCORING-3 L3 — CONSTAT MESURÉ…, sources_catalog.py:36)"
edf_hta;EDF Réunion — lignes moyenne tension HTA (open data);EDF SEI — open data La Réunion (portail Koumoul);acces;spatial_layers(ligne_mt,ligne_ht);EDF géométrie ~02/2020 · publié 16/10/2025;2026-09-05;aucune;one_shot;RETOURS-13 Lot 1 (commit 44443736, branche fix/retours-12 NON mergée dans main);aucun;oui;entete;;;;https://opendata-reunion.edf.fr/datasets/lignes-haute-tension-hta-aerien-run;Licence Ouverte v2.0 — attribution : « Source : EDF, open data La Réunion ». Données publiées « à titre purement indicatif », contenu réduit pour raison de sécurité publique (mention du portail).;;"data_sources id=93 (SELECT du 05/09/2026) ; kind ligne_mt=19480, ligne_ht=48 (DB locale) ; git branch --contains 44443736 → fix/retours-12 seule"
tcsp_osm;TCSP — voies bus en site propre (OSM);OpenStreetMap;acces;spatial_layers(tcsp_troncon,tcsp_station,tcsp_zone);extraction Overpass (OSM, ODbL) — voies bus 974;2026-09-05;aucune;one_shot;RETOURS-13 Lot 1 (code NON mergé dans main);aucun;non;aucune;;;Pas d'URL amont à millésime stable identifiée (endpoint de requête, import manuel ou hub).;https://overpass-api.de/api/interpreter;ODbL 1.0 — attribution : « © les contributeurs d'OpenStreetMap ».;;"data_sources id=94 (SELECT du 05/09/2026) ; kind tcsp_troncon=142 (DB locale) ; git branch --contains 44443736"
reunion_express_cndp;Réunion Express — hypothèses de tracé (débat public CNDP);Région Réunion / CNDP;acces;aucune trouvée (status=a_faire);;;aucune;absente;aucun;aucun;oui;entete;;;;https://www.debatpublic.fr/projet-train-reunion-express;Hypothèses de tracé et zones de variantes présentées au débat public (19/08 → 26/11/2026) — document d'intention, pas une donnée opposable.;hypothèses de tracé au débat public CNDP (19/08→26/11/2026) — non branché;"data_sources id=95 (SELECT du 05/09/2026) ; data_sources id 95 (status a_faire, créé 05/09/2026) ; hors vitrine (Tram-train ~140 km, 25 gares,…, sources_catalog.py:36)"
ecln;ECLN (commercialisation des logements neufs, SDES);SDES;aucune;aucune;;;aucune;absente;aucun;aucun;non;aucune;;;;;DOUTE;métropole seule, N/A DOM — aucun stock/écoulement servi, jamais extrapolé;src/labuse/ingestion/vefa_neuf.py:8
lovac;LOVAC (logements vacants);DGFiP / Cerema;aucune;aucune;;;aucune;absente;aucun;aucun;non;aucune;;;;;DOUTE;convention dédiée non instruite — prédicteur vacance absent du scoring;docs/audit-2026-09/SCORING-RAPPORT.md:241
