commune,bloc,servi,recalcule,verdict,note
Bras-Panon,liquidite,"13 ventes dernier trim, delta 18","13 lignes (13 mutations), delta 18",OK,
Bras-Panon,offre_engagee,161 logts / 52 permis,161 logts / 52 permis,OK,fenetre 12m ref=2026-06-25
Bras-Panon,offre_potentielle,219749 m² SDP / 710 parc.,219749 m² / 710 parc.,OK,run q_v10_m129 tiers servables
Bras-Panon,pression_dpe,non calculable (0 DPE),0 DPE,OK,
Bras-Panon,loyer_median,"13.12 €/m² (appartement, 2025)","13.12 €/m² (appartement, 2025)",OK,DHUP fichier versionne; granularite=commune
Bras-Panon,pression_zan,12.6,12.6,OK,"comparateur-communes; conso ENAF 2021-2024 Cerema, m2->ha arrondi 0,1"
Salazie,prix_ancien,"1515 €/m² (n=23, mixte (appart+maison))","1515 €/m² (n=23, mixte (appart+maison))",OK,fiab=fragile; sector_price parcelle repr.
Salazie,prix_terrain_U_AU,U=147 (n=99); AU=non calc (n < 10),U=147 (n=99); AU: n reel=8,OK,seuil n>=10 (dvf_profils terrain_cellule_commune)
Salazie,prix_sortie_neuf,"4375 €/m² (ile_sans_operation, n=None)","4375 €/m² (ile_sans_operation, n=None)",OK,snapshot dvf_prix_sortie_neuf
Salazie,tendance_12m,non calculable,n 23/16,OK,seuil 30/fenetre; motif=tendance non calculable — n < 30 par fenêtre
Salazie,liquidite,"7 ventes dernier trim, delta -22","7 lignes (7 mutations), delta -22",OK,
Salazie,offre_engagee,39 logts / 40 permis,39 logts / 40 permis,OK,fenetre 12m ref=2026-06-03
Salazie,offre_potentielle,1630696 m² SDP / 1489 parc.,1630696 m² / 1489 parc.,OK,run q_v10_m129 tiers servables
Salazie,pression_dpe,non calculable (0 DPE),0 DPE,OK,
Salazie,loyer_median,"12.17 €/m² (appartement, 2025)","12.17 €/m² (appartement, 2025)",OK,DHUP fichier versionne; granularite=maille
Salazie,pression_zan,14.3,14.3,OK,"comparateur-communes; conso ENAF 2021-2024 Cerema, m2->ha arrondi 0,1"
Sainte-Rose,prix_ancien,"1923 €/m² (n=87, mixte (appart+maison))","1923 €/m² (n=87, mixte (appart+maison))",OK,fiab=fragile; sector_price parcelle repr.
Sainte-Rose,prix_terrain_U_AU,U=127 (n=73); AU=139 (n=36),U=127 (n=73); AU=139 (n=36),OK,seuil n>=10 (dvf_profils terrain_cellule_commune)
Sainte-Rose,prix_sortie_neuf,"4375 €/m² (ile_sans_operation, n=None)","4375 €/m² (ile_sans_operation, n=None)",OK,snapshot dvf_prix_sortie_neuf
Sainte-Rose,tendance_12m,non calculable,n 17/23,OK,seuil 30/fenetre; motif=tendance non calculable — n < 30 par fenêtre
Sainte-Rose,liquidite,"4 ventes dernier trim, delta -33","4 lignes (4 mutations), delta -33",OK,
Sainte-Rose,offre_engagee,37 logts / 30 permis,37 logts / 30 permis,OK,fenetre 12m ref=2026-06-01
Sainte-Rose,offre_potentielle,889254 m² SDP / 1950 parc.,889254 m² / 1950 parc.,OK,run q_v10_m129 tiers servables
Sainte-Rose,pression_dpe,non calculable (0 DPE),0 DPE,OK,
Sainte-Rose,loyer_median,"12.17 €/m² (appartement, 2025)","12.17 €/m² (appartement, 2025)",OK,DHUP fichier versionne; granularite=maille
Sainte-Rose,pression_zan,4.5,4.5,OK,"comparateur-communes; conso ENAF 2021-2024 Cerema, m2->ha arrondi 0,1"
Saint-Philippe,prix_ancien,"1786 €/m² (n=26, mixte (appart+maison))","1786 €/m² (n=26, mixte (appart+maison))",OK,fiab=fragile; sector_price parcelle repr.
Saint-Philippe,prix_terrain_U_AU,U=non calc (n < 10); AU=non calc (n < 10),U: n reel=0; AU: n reel=0,OK,seuil n>=10 (dvf_profils terrain_cellule_commune)
Saint-Philippe,prix_sortie_neuf,non calculable,"{'calculable': False, 'motif': 'social-dominant'}",OK,motif=Charge foncière de marché non atteignable sur cette commune — le collectif y est majoritairement social ou aidé.
Saint-Philippe,tendance_12m,non calculable,n 36/25,OK,seuil 30/fenetre; motif=tendance non calculable — n < 30 par fenêtre
Saint-Philippe,liquidite,"14 ventes dernier trim, delta 133","14 lignes (14 mutations), delta 133",OK,
Saint-Philippe,offre_engagee,56 logts / 36 permis,56 logts / 36 permis,OK,fenetre 12m ref=2026-06-22
Saint-Philippe,offre_potentielle,non calculable,sdp=0,OK,
Saint-Philippe,pression_dpe,0.0% F/G sur 1 DPE,0.0% sur 1,OK,fiab servie='moyenne' sur n=1 (base dpe_records=17 lignes ile entiere)
Saint-Philippe,loyer_median,"13.41 €/m² (appartement, 2025)","13.41 €/m² (appartement, 2025)",OK,DHUP fichier versionne; granularite=maille
Saint-Philippe,pression_zan,12.3,12.3,OK,"comparateur-communes; conso ENAF 2021-2024 Cerema, m2->ha arrondi 0,1"
